Reference	ID	Tags	SupportReference	Quote	OrigQuote	Occurrence	Note
1:4	le2q		rc://*/ta/man/translate/figs-metaphor	Turn from your evil ways and wicked practices	~	0	No longer doing certain actions is spoken of as if it were turning away from those actions. The phrases “evil ways” and “wicked practices” mean basically the same thing. Alternate translation: “Stop doing all of your wicked actions” (See also: [[rc://*/ta/man/translate/figs-doublet]])
1:4	g1te		rc://*/ta/man/translate/figs-123person	this is Yahweh’s declaration	~נְאֻם נְאֻם	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated a similar phrase in [Zechariah 1:3](../01/03.md). Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared”
1:5	tk3p		rc://*/ta/man/translate/figs-rquestion	Your fathers, where are they? Where are the prophets, are they here forever?	~	0	These two rhetorical questions emphasize that both their ancestors and the prophets who proclaimed Yahweh’s message to their ancestors have died. The questions can be translated as a statement. Alternate translation: “Neither your fathers nor the prophets are here because they have all died.”
1:6	b2ai		rc://*/ta/man/translate/figs-rquestion	But my words and my decrees that I commanded my servants the prophets, have they not overtaken your fathers?	אַ֣ךְ דְּבָרַ֣⁠י וְ⁠חֻקַּ֗⁠י אֲשֶׁ֤ר צִוִּ֨יתִי֙ אֶת עֲבָדַ֣⁠י הַ⁠נְּבִיאִ֔ים הֲ⁠ל֥וֹא הִשִּׂ֖יגוּ אֲבֹתֵי⁠כֶ֑ם	0	This rhetorical question emphasizes the positive answer that it anticipates. Yahweh speaks of the people’s ancestors experiencing the consequences of not obeying Yahweh’s commands as if his words and decrees were a person who had chased after and overtaken them. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “But my words and my decrees that I commanded my servants the prophets have overtaken your fathers.” or “But your fathers have suffered the consequences for disobeying my words and my decrees that I commanded my servants the prophets to tell them.”
1:6	p786		rc://*/ta/man/translate/figs-doublet	my words and my decrees	דְּבָרַ֣⁠י וְ⁠חֻקַּ֗⁠י	0	These phrases are both ways to refer to Yahweh’s message that the prophets had declared to their ancestors.
1:6	pc8u		rc://*/ta/man/translate/figs-doublet	our ways and actions	כִּ⁠דְרָכֵ֨י⁠נוּ֙ וּ⁠כְ⁠מַ֣עֲלָלֵ֔י⁠נוּ	0	The words “ways” and “actions” mean basically the same thing. Alternate translation: “our behavior”
1:7	kav5		rc://*/ta/man/translate/translate-hebrewmonths	the twenty-fourth day of the eleventh month, which is the month of Shebat	~עֶשְׂרִ֨ים שְׁבָ֔ט בְּ⁠יוֹם֩ לְ⁠עַשְׁתֵּֽי חֹ֨דֶשׁ֙ הוּא חֹ֣דֶשׁ עָשָׂ֥ר	0	“Shebat” is the eleventh month of the Hebrew calendar. The twenty-fourth day is near the middle of February on Western calendars. (See also: [[rc://*/ta/man/translate/translate-ordinal]] and [[rc://*/ta/man/translate/translate-names]])
1:7	epb7		rc://*/ta/man/translate/translate-ordinal	in the second year of Darius’ reign	~	0	“in the second year of the reign of Darius the king” or “in the second year since Darius became king.” See how you translated this in [Zechariah 1:1](../01/01.md).
1:7	al5n		rc://*/ta/man/translate/figs-idiom	the word of Yahweh came	~דְבַר יְהוָ֗ה הָיָ֣ה	0	This idiom is used to introduce a special message from God. See how you translated this in [Zechariah 1:1](../01/01.md). Alternate translation: “Yahweh gave a message” or “Yawheh spoke this message”
1:7	li5w		rc://*/ta/man/translate/translate-names	Berechiah … Iddo	~	0	These are the names of men.
1:8	rsm4			look	וְ⁠הִנֵּה	0	The word “look” here shows that Zechariah was surprised by what he saw.
1:8	fg97		rc://*/ta/man/translate/translate-unknown	myrtle trees	הַ⁠הֲדַסִּ֖ים	0	a kind of small tree with colorful flowers
1:9	rb9l			I said, “What are these things, Lord?” Then the angel who talked with me	~	0	Here Zechariah speaks to an unidentified angel. This is not the same as the “man” who was “riding on a red horse.”
1:9	l5k2			What are these things, Lord?	~	0	“What are these things, sir?” Here the word “Lord” is a form of polite address.
1:10	uiv2		rc://*/ta/man/translate/figs-idiom	the man who stood among the myrtle trees	הָ⁠אִ֛ישׁ הָ⁠עֹמֵ֥ד בֵּין הַ⁠הַדַסִּ֖ים	0	These phrases refer to the man who “was riding on a red horse” in [Zechariah 1:8](../01/08.md). This could mean: (1) the man dismounted his horse and stood or (2) the word “stood” is an idiom that means he was located in that position. Alternate translation: “the man who was among the myrtle trees”
1:10	m3qf		rc://*/ta/man/translate/figs-explicit	These are those	~	0	The word “these” refers to the red, reddish-brown, and white horses that were behind the man who was among the myrtle trees. This could mean: (1) it is implicit that there were other men who were riding the horses, and that these phrases refer to the riders or (2) the horses are personified as being able to speak like people. (See also: [[rc://*/ta/man/translate/figs-personification]])
1:10	paz1		rc://*/ta/man/translate/figs-explicit	to roam throughout the earth	לְ⁠הִתְהַלֵּ֖ךְ בָּ⁠אָֽרֶץ	0	It is implicit that Yahweh sent these out to walk about in order to patrol the earth. This does not suggest that they were wandering or lost.
1:11	p8ce		rc://*/ta/man/translate/figs-idiom	the angel of Yahweh who stood among the myrtle trees	אֶת מַלְאַ֣ךְ יְהוָ֗ה הָֽ⁠עֹמֵד֙ בֵּ֣ין הַ⁠הֲדַסִּ֔ים	0	This phrase refers to the man who “was riding on a red horse” in [Zechariah 1:8](../01/08.md). This could mean: (1) the man dismounted his horse and stood or (2) the word “stood” is an idiom that means he was located in that position. Alternate translation: “the angel of Yahweh who was among the myrtle trees”
1:11	vum3		rc://*/ta/man/translate/figs-explicit	They answered … they said	~	0	The word “they” refers to the red, reddish-brown, and white horses that were behind the man who was among the myrtle trees. This could mean: (1) it is implicit that there were other men who were riding the horses, and that these phrases refer to the riders or (2) the horses are personified as being able to speak like people. (See also: [[rc://*/ta/man/translate/figs-personification]])
1:11	z1nt		rc://*/ta/man/translate/figs-metaphor	all the earth sits still and is at rest	כָל הָ⁠אָ֖רֶץ יֹשֶׁ֥בֶת וְ⁠שֹׁקָֽטֶת	0	There being peace and quiet in the world is spoken of as if the earth were a person who is still and resting. This could mean: (1) this is a good thing that means that there is peace between nations or (2) this is a bad thing that means that there is no war because nations are helpless to fight against a stronger nation that has subdued them.
1:12	hd8w		rc://*/ta/man/translate/figs-metonymy	to Jerusalem and to the cities of Judah	אֶת יְרוּשָׁלִַ֔ם וְ⁠אֵ֖ת עָרֵ֣י יְהוּדָ֑ה	0	Here the words “Jerusalem” and “cities” refer to the people who live in those cities. Alternate translation: “to the people of Jerusalem and to the people of the cities of Judah”
1:13	ea77			with good words, words of comfort	~	0	Alternate translation: “with good, comforting words”
1:14	z627			I have been jealous for Jerusalem	קִנֵּ֧אתִי לִ⁠ירוּשָׁלִַ֛ם	0	Here the word “jealous” refers to Yahweh’s strong desire to protect his people.
1:15	z4b6		rc://*/ta/man/translate/figs-idiom	I am very angry with the nations that are at ease	~אֲנִ֣י וְ⁠קֶ֤צֶף גָּדוֹל֙ וְ⁠קֶ֤צֶף עַל הַ⁠גּוֹיִ֖ם אֲשֶׁ֤ר אֲנִי֙	0	The phrase “at ease” means that the people thought that they lived in peace and security. Alternate translation: “I am very angry with the nations that enjoy peace and security”
1:15	vt8i			I was only a little angry with them	~הַ⁠שַּֽׁאֲנַנִּ֑ים מְּעָ֔ט קֹצֵ֔ף קָצַ֣פְתִּי	0	Alternate translation: “I was only a little angry with the people of Jerusalem”
1:15	ml6d		rc://*/ta/man/translate/figs-explicit	they made the disaster worse	וְ⁠הֵ֖מָּה עָזְר֥וּ לְ⁠רָעָֽה	0	“the nations that are at ease made the disaster worse.” This means that although Yahweh used these nations to punish Jerusalem, they did more harm to Jerusalem than what Yahweh had intended for them to do.
1:16	irm7		rc://*/ta/man/translate/figs-metaphor	I have returned to Jerusalem with mercies	שַׁ֤בְתִּי לִ⁠ירוּשָׁלִַ֨ם֙ בְּֽ⁠רַחֲמִ֔ים	0	This could mean: (1) although Yahweh had left Jerusalem when the people had gone into exile, he will now return to Jerusalem when they have come back from exile or (2) Yahweh speaks of having a change of attitude towards the people of Jerusalem and again blessing them and helping them as if he were returning to the city. Alternate translation: “I will once again show mercy towards Jerusalem”
1:16	mlv6		rc://*/ta/man/translate/figs-metonymy	My house will be built within her	בֵּיתִ⁠י֙ יִבָּ֣נֶה בָּ֔⁠הּ	0	The word “her” refers to Jerusalem, and the word “house” is a metonym for the temple. If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “The people will build my temple in Jerusalem” (See also: [[rc://*/ta/man/translate/figs-activepassive]])
1:16	qz6g		rc://*/ta/man/translate/figs-explicit	the measuring line will be stretched out over Jerusalem	~	0	This refers to builders using their instruments to rebuild the city. If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “builders will stretch out their measuring lines over Jerusalem” or “the people will rebuild Jerusalem” (See also: [[rc://*/ta/man/translate/figs-activepassive]])
1:17	xwc5			Again call out, saying	ע֣וֹד קְרָ֣א לֵ⁠אמֹ֗ר	0	The angel who was speaking to Zechariah says these words.
1:17	c5zg		rc://*/ta/man/translate/figs-metonymy	My cities will once again overflow with goodness	~עָרַ֖⁠י ע֛וֹד תְּפוּצֶ֥ינָה מִ⁠טּ֑וֹב	0	The phrase “my cities” refers to the cities of Judah and represents the people who live in those cities. Yahweh speaks of the inhabitants of those cities again being prosperous as if goodness were a liquid that overflowed the cities, which are its containers. Alternate translation: “My cities will once again be prosperous” or “The people in the cities of Judah will once again be prosperous” (See also: [[rc://*/ta/man/translate/figs-metaphor]])
1:17	e1cn		rc://*/ta/man/translate/figs-metonymy	Yahweh will again comfort Zion	~יְהוָ֥ה וְ⁠נִחַ֨ם עוֹד֙ וְ⁠נִחַ֨ם אֶת צִיּ֔וֹן	0	Here the word “Zion” refers to the people who live in the city. Alternate translation: “Yahweh will again comfort the people in Zion”
1:18	fb8w		rc://*/ta/man/translate/figs-synecdoche	I lifted up my eyes	וָ⁠אֶשָּׂ֥א אֶת עֵינַ֖⁠י	0	The word “eyes” represents the person who looks. Alternate translation: “I looked up”
1:19	p1kh		rc://*/ta/man/translate/writing-symlanguage	These are the horns that have scattered Judah, Israel, and Jerusalem	~	0	Horns were often used as a symbol for military power. Here they symbolize the powerful nations that had conquered the kingdoms of Israel. The words “Judah, Israel, and Jerusalem” represent the people who lived in those places. Alternate translation: “These horns represent the nations that have scattered the people of Judah, Israel, and Jerusalem” (See also: [[rc://*/ta/man/translate/figs-metonymy]])
1:20	a61d			four craftsmen	אַרְבָּעָ֖ה חָרָשִֽׁים	0	Alternate translation: “blacksmiths” or “metalworkers”
1:21	y3z5			these people	אֵ֥לֶּה	0	This refers to the four craftsmen.
1:21	k412		rc://*/ta/man/translate/writing-symlanguage	These are the horns that scattered Judah	~	0	The horns symbolize the powerful nations that had conquered the kingdoms of Israel. The word “Judah” represents the people who lived in Judah. See how you translated a similar phrase in [Zechariah 1:19](../01/19.md). Alternate translation: “These horns represent the nations that scattered the people of Judah” (See also: [[rc://*/ta/man/translate/figs-metonymy]])
1:21	zd7p		rc://*/ta/man/translate/figs-metaphor	so that no man would lift up his head	~כְּ⁠פִי לֹא אִישׁ֙ נָשָׂ֣א רֹאשׁ֔⁠וֹ	0	The nations oppressing the people of Judah severely is spoken of as if no person in Judah was able to raise his head. Alternate translation: “and caused them to suffer greatly”
1:21	gm5d		rc://*/ta/man/translate/figs-metaphor	to cast down the horns of the nations that lifted up a horn against the land of Judah	לְ⁠יַדּ֞וֹת אֶת קַרְנ֣וֹת הַ⁠גּוֹיִ֗ם הַ⁠נֹּשְׂאִ֥ים קֶ֛רֶן אֶל אֶ֥רֶץ יְהוּדָ֖ה	0	Yahweh speaks of the nations using their military power to conquer Judah as if the nations had lifted up their horns. He speaks of these four craftsmen destroying the military power of these nations as if the craftsmen threw those horns to the ground. Alternate translation: “to destroy the power of the nations who used their military might against the land of Judah”
1:21	q7u9			to cast down the horns of the nations that lifted up a horn	לְ⁠יַדּ֞וֹת אֶת קַרְנ֣וֹת הַ⁠גּוֹיִ֗ם הַ⁠נֹּשְׂאִ֥ים קֶ֛רֶן	0	Alternate translation: “to cast down the horns that the nations had lifted up”
2:intro	j9a8					0	# Zechariah 2 General Notes\n\n## Structure and formatting\n\nThis chapter is introduced in prose with imagery used in the rest of the chapter to portray Zechariah’s third vision about measuring lines given by the Lord.\n\nSome translations prefer to set apart quotations. The ULT and many other English translations set the lines of 2:4–13, which are extended quotations, farther to the right on the page than the rest of the text.\n\n## Special concepts in this chapter\n\n### Visions\n\nThis book contains a number of visions given to Zechariah so the images are not ones Zechariah actually saw but were given to him in a vision or dream. It is important for each of these visions to keep their meanings and not be interpreted to mean any specific thing. Please be careful to translate each of the terms in your language.\n\n## Important figures of speech in this chapter\n\n### “This is Yahweh’s declaration”\nThis phrase is used several times in this chapter. The UST often translates this as “Yahweh says.”
2:1	u35h		rc://*/ta/man/translate/figs-synecdoche	I lifted up my eyes	וָ⁠אֶשָּׂ֥א עֵינַ֛⁠י	0	The word “eyes” represents the person who looks. Alternate translation: “I looked up”
2:1	dn7b			measuring line	~מִדָּֽה חֶ֥בֶל	0	a rope with a certain length that a person would use to measure buildings or large sections of land
2:2	eb3u			So he said to me	~וַ⁠יֹּ֣אמֶר לָ⁠מֹד֙ אֵלַ֗⁠י	0	Alternate translation: “So the man with the measuring line said to me”
2:3	he2k		rc://*/ta/man/translate/writing-participants	another angel went out to meet him	~אַחֵ֔ר וּ⁠מַלְאָ֣ךְ יֹצֵ֖א לִ⁠קְרָאתֽ⁠וֹ	0	This angel is a new participant who has not appeared before this verse.
2:4	ty6u			The second angel said to him	~	0	Alternate translation: “The second angel said to the angel who had talked with me”
2:4	mt9q		rc://*/ta/man/translate/figs-explicit	Jerusalem will sit in the open country … beasts within her	~	0	The phrase “will sit in the open country” translates a word that refers to a city that has no walls. There will be so many inhabitants in the city that it will be too large to have walls around it. Alternate translation: “Jerusalem will not have walls around it … beasts within the city”
2:5	ync4		rc://*/ta/man/translate/figs-metaphor	I … will become for her a wall of fire around her	~	0	People built walls around their cities for protection. Here Yahweh speaks of protecting Jerusalem as if he himself were a wall of fire around the city. Alternate translation: “I … will protect the city, like a wall of fire around it”
2:5	e11h		rc://*/ta/man/translate/figs-123person	this is Yahweh’s declaration	~אֶֽהְיֶה נְאֻם	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated this in [Zechariah 1:4](../01/04.md). Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared”
2:6	c7zp		rc://*/ta/man/translate/figs-doublet	Up! Up!	ה֣וֹי ה֗וֹי	0	These two words express urgency and add emphasis to the following command. The words can be translated with an expression that communicates urgency in your language. Alternate translation: “Run! Run!” or “Hurry! Hurry!”
2:7	nj7k		rc://*/ta/man/translate/figs-metaphor	you who live with the daughter of Babylon	יוֹשֶׁ֖בֶת בַּת בָּבֶֽל	0	The phrase “daughter of Babylon” refers to the city of Babylon. Yahweh speaks of the city as if it were a daughter. Alternate translation: “you who live in Babylon”
2:8	qki8				~	0	# General Information:\n\nZechariah begins to speak and tells how Yahweh is sending him to judge the nations who have plundered Jerusalem.
2:8	uv6h		rc://*/ta/man/translate/figs-explicit	for whoever touches you	כִּ֚י הַ⁠נֹּגֵ֣עַ בָּ⁠כֶ֔ם	0	The word “touches” refers to a touch meant to harm. Alternate translation: “for whoever harms you”
2:9	w4b5		rc://*/ta/man/translate/translate-symaction	I myself will shake my hand over them	הִנְ⁠נִ֨י מֵנִ֤יף אֶת יָדִ⁠י֙ עֲלֵי⁠הֶ֔ם	0	Raising one’s hand against another person is a gesture of hostility. Here it is a symbolic action that means that God will attack those who harm Jerusalem. Alternate translation: “I myself will fight against them” or “I myself will attack them”
2:9	q7li			they will be plunder for their slaves	וְ⁠הָי֥וּ שָׁלָ֖ל לְ⁠עַבְדֵי⁠הֶ֑ם	0	The word “plunder” can be translated with a verb. Alternate translation: “their slaves will plunder them”
2:10	n5lp		rc://*/ta/man/translate/figs-metaphor	Sing for joy, daughter of Zion	~	0	“Zion” is the same as “Jerusalem.” The prophet speaks of the city as if it is a daughter. This could mean: (1) Zechariah personifies the city as a person who can sing. Alternate translation: “Sing for joy, Zion” or (2) the phrase “daughter of Zion” is a metonym for the people who live in the city. Alternate translation: “Sing for joy, people of Zion” (See also: [[rc://*/ta/man/translate/figs-personification]] and [[rc://*/ta/man/translate/figs-metonymy]])
2:10	ph8u		rc://*/ta/man/translate/figs-123person	this is Yahweh’s declaration	~	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated this in [Zechariah 1:4](../01/04.md). Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared”
2:11	h8g4		rc://*/ta/man/translate/figs-metaphor	great nations will join themselves to Yahweh	~	0	Zechariah speaks of the people of great nations becoming Yahweh’s people and worshiping him as if they were joining themselves to Yahweh. Alternate translation: “the people of great nations will become the people of Yahweh” (See also: [[rc://*/ta/man/translate/figs-metonymy]])
2:11	glg2			in that day	~הַ⁠ה֔וּא בַּ⁠יּ֣וֹם	0	Alternate translation: “at that time”
2:11	bu8a			I will encamp in the midst of you	~	0	Alternate translation: “I will live among you”
2:12	e1sr		rc://*/ta/man/translate/figs-metaphor	Yahweh will inherit Judah as his rightful possession	~יְהוָ֤ה וְ⁠נָחַ֨ל אֶת יְהוּדָה֙ חֶלְק֔⁠וֹ	0	Zechariah speaks of Yahweh claiming Judah as his own land as if Judah were something that Yahweh inherits as a permanent possession. Alternate translation: “Yahweh will claim Judah as his rightful possession”
2:13	f45h		rc://*/ta/man/translate/figs-synecdoche	all flesh	כָּל בָּשָׂ֖ר	0	Here the word “flesh” represents all humanity. Alternate translation: “all people”
2:13	p2lb		rc://*/ta/man/translate/figs-metaphor	he has been roused	נֵע֖וֹר	0	Zechariah speaks of Yahweh beginning to act as if someone had roused Yahweh from inactivity. It is implied that this action refers to his returning to Jerusalem. Alternate translation: “he is coming” (See also: [[rc://*/ta/man/translate/figs-explicit]])
2:13	dh6y		rc://*/ta/man/translate/figs-explicit	from out of his holy place	~	0	Here “his holy place” refers to heaven, and not to the temple in Jerusalem. Alternate translation: “from his holy place in heaven”
3:intro	gw6m					0	# Zechariah 3 General Notes\n\n## Structure and formatting\n\nThis chapter is introduced in prose and shares the fourth vision, which is the priest in dirty clothes. (See: [[rc://*/tw/dict/bible/kt/priest]])\n\nSome translations prefer to set apart quotations. The ULT and many other English translations set the lines of 3:7–9, which is an extended quotation, farther to the right on the page than the rest of the text.\n\n## Difficult concepts in this chapter\n\n### Visions\n\nIt is important for each of these visions to keep their meanings and not be interpreted to mean any specific thing.\n\n## Other possible translation difficulties in this chapter\n\n### The high priest\n\nThis chapter seems to refer to a particular person, Joshua the high priest. However, little is known about him. (See: [[rc://*/tw/dict/bible/kt/highpriest]])
3:1	l2ct				~	0	# General Information:\n\nYahweh shows Zechariah a vision of Joshua the priest.
3:1	lm1x			Satan was standing at his right hand to accuse him of sin	~	0	Alternate translation: “Satan was standing at Joshua’s right side, ready to accuse Joshua of sin”
3:2	p64g		rc://*/ta/man/translate/figs-rquestion	Is this not a brand pulled from the fire?	~	0	The angel of Yahweh asks this rhetorical question to emphasize the positive answer that it anticipates. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “Joshua is a brand pulled from the fire.”
3:2	il5p		rc://*/ta/man/translate/figs-metaphor	a brand pulled from the fire	~	0	A brand is a burning piece of wood. The angel of Yahweh speaks of Joshua being rescued from captivity in Babylon as if he were a piece of wood that someone pulls from a fire before the wood is completely burned.
3:3	d4s4		rc://*/ta/man/translate/writing-symlanguage	Joshua was dressed in filthy garments	~	0	In this vision “filthy garments” are symbolic of sinfulness.
3:4	l7ds			those who stood before him	הָ⁠עֹמְדִ֤ים לְ⁠פָנָי⁠ו֙	0	The word “him” refers to the angel. The phrase refers to other angels who were present.
3:4	g4d4			Look	רְאֵ֨ה	0	Alternate translation: “Pay attention, because what I am about to say is both true and important”
3:4	k9lt		rc://*/ta/man/translate/figs-idiom	I have caused your iniquity to pass from you	~עֲוֺנֶ֔⁠ךָ הֶעֱבַ֤רְתִּי מֵ⁠עָלֶ֨י⁠ךָ֙	0	Since Joshua’s garments were symbolic of his sinfulness, by removing his garments, the angel removed Joshua’s iniquity. Causing iniquity to pass from him is an idiom that means that he had removed Joshua’s iniquity. Alternate translation: “I have removed your iniquity from you”
3:4	uh7k		rc://*/ta/man/translate/writing-symlanguage	dress you in fine clothing	וְ⁠הַלְבֵּ֥שׁ אֹתְ⁠ךָ֖ מַחֲלָצֽוֹת	0	Here fine clothing symbolizes righteousness.
3:5	d1b9			Let them put	יָשִׂ֛ימוּ	0	Here the word “them” refers to the other angels who were present.
3:5	d26a			turban	צָנִ֥יף	0	a long piece of cloth wrapped around the head
3:6	v18s			solemnly commanded Joshua	~	0	Alternate translation: “commanded Joshua in a very serious manner”
3:7	l5ba		rc://*/ta/man/translate/figs-parallelism	If you will walk in my ways, and if you will keep my commandments	~אִם תֵּלֵךְ֙ בִּ⁠דְרָכַ֤⁠י וְ⁠אִ֣ם אֶת אֶת מִשְׁמַרְתִּ֣⁠י תִשְׁמֹ֔ר	0	These two phrases mean basically the same thing. Yahweh speaks of obeying him as if the person were walking along Yahweh’s paths. Alternate translation: “If you will obey me and keep my commandments” (See also: [[rc://*/ta/man/translate/figs-metaphor]])
3:7	x34k		rc://*/ta/man/translate/figs-metonymy	you will govern my house and guard my courts	~אַתָּה֙ תָּדִ֣ין בֵּיתִ֔⁠י וְ⁠גַ֖ם תִּשְׁמֹ֣ר אֶת חֲצֵרָ֑⁠י	0	Here the word “house” is a metonym for the temple, while the word “courts” refers to the courtyards around the temple. Together the phrases mean that Joshua will have authority over the whole temple complex. Alternate translation: “you will have authority over my temple and its courtyards”
3:7	mwk3		rc://*/ta/man/translate/figs-idiom	to go and come among these who stand before me	~	0	The phrase “to go and come among” is an idiom that means that Joshua will be a part of this group and have the same privilege as they do of access to Yahweh. Alternate translation: “to come before me as these who stand here do” (See also: [[rc://*/ta/man/translate/figs-explicit]])
3:8	jym9		rc://*/ta/man/translate/figs-explicit	your companions who live with you	וְ⁠רֵעֶ֨י⁠ךָ֙ הַ⁠יֹּשְׁבִ֣ים לְ⁠פָנֶ֔י⁠ךָ	0	This phrase refers to other priests who would serve in the temple under the leadership of Joshua. Alternate translation: “the other priests who live with you”
3:8	hp4q			For these men are a sign	~	0	Here the word “sign” refers to something that communicates a special meaning to those who see it. Yahweh speaks of the priests serving in the temple as being this sign that shows that Yahweh will bring his servant.
