Reference	ID	Tags	SupportReference	Quote	OrigQuote	Occurrence	Note
1:5	k13b		rc://*/ta/man/translate/figs-abstractnouns	This was their appearance	~וְ⁠זֶה֙ דְּמ֥וּת	0	If your language does not use an abstract noun for the idea behind the word **appearance**, you can express the same idea with a verbal form. Alternate translation: “This is what they looked like”
1:5	nji4		rc://*/ta/man/translate/figs-abstractnouns	They had the likeness of a man	~לָ⁠הֵֽנָּה אָדָ֖ם	0	If your language does not use an abstract noun for the idea behind the word **appearance**, you can express the same idea with a verbal form. Alternate translation: “The four creatures looked like people”
1:6	vqp7			but they had four faces each, and each of the creatures had four wings	~וְ⁠אַרְבָּעָ֥ה לְ⁠אֶחָ֑ת לְ⁠אַחַ֥ת לְ⁠אַחַ֥ת פָנִ֖ים לָ⁠הֶֽם וְ⁠אַרְבַּ֥ע כְּנָפַ֖יִם	0	“but each of them had four different faces and four wings.” Each creature had a face on the front, a face on the back, and a face on each side of its head.
1:7	lgs2			Connecting Statement:	~	0	# Connecting Statement:\n\nEzekiel continues to describe his vision.
1:7	k6hj			but the soles of their feet were like the hooves of a calf	~וְ⁠כַ֣ף כְּ⁠כַף֙ וְ⁠רַגְלֵי⁠הֶ֖ם רַגְלֵי⁠הֶ֗ם כְּ⁠עֵ֖ין עֵ֔גֶל	0	Alternate translation: “but their feet looked like calf hooves” or “but their feet looked like the feet of calves”
1:7	zyz1			hooves of a calf	~כְּ⁠עֵ֖ין עֵ֔גֶל	0	the hard part of a calf’s foot
1:7	ac8t		rc://*/ta/man/translate/figs-simile	that shone like polished bronze	~וְ⁠נֹ֣צְצִ֔ים קָלָֽל נְחֹ֥שֶׁת	0	“that were shiny like bronze that has been polished.” This describes the feet of the creatures. Alternate translation: “and they shone like polished bronze”
1:8	gr7m			on all four sides	~עַ֖ל רִבְעֵי⁠הֶ֑ם אַרְבַּ֣עַת	0	Alternate translation: “on all four sides of their bodies”
1:8	k4hk			For all four, their faces and wings were like this	~לְ⁠אַרְבַּעְתָּֽ⁠ם וּ⁠פְנֵי⁠הֶ֥ם וְ⁠כַנְפֵי⁠הֶ֖ם	0	Alternate translation: “For all four of the creatures, their wings and their faces were like this”
1:9	xij2			they did not turn as they went	~אֶל אֶל לֹא יִסַּ֣בּוּ יֵלֵֽכוּ בְ⁠לֶכְתָּ֔⁠ן	0	Alternate translation: “the creatures did not turn as they moved”
1:10	xft7			Connecting Statement:	~	0	# Connecting Statement:\n\nEzekiel continues to describe his vision.
1:10	dr2n		rc://*/ta/man/translate/figs-abstractnouns	The likeness of their faces was like the face of a man	~וּ⁠דְמ֣וּת אָדָם֒ פְּנֵי⁠הֶם֮ וּ⁠פְנֵי אָדָם֒	0	Ezekiel is describing the faces of the creatures on their front side. Here, **likeness** means that what Ezekiel saw looked like a man’s face. If your language does not use an abstract noun for the idea behind the word **likeness**, you can express the same idea with a verbal form. Alternate translation: “The face of each creature looked like the face of a man”
1:10	cb2b			The four of them had the face of a lion to the right side	~לְ⁠אַרְבַּעְתָּ֔⁠ם וּ⁠פְנֵ֨י אַרְיֵ֤ה אֶל הַ⁠יָּמִין֙	0	Alternate translation: “The face on the right side of each one’s head looked like the face of a lion”
1:10	xfk6			the four of them had the face of an ox on the left side	~לְ⁠אַרְבַּעְתָּ֑⁠ן וּ⁠פְנֵי שׁ֥וֹר מֵֽ⁠הַ⁠שְּׂמֹ֖אול	0	Alternate translation: “the face on the left side of the head of each one looked like the face of an ox”
1:10	hzm6			They four had also the face of an eagle	~לְ⁠אַרְבַּעְתָּֽ⁠ן פְּנֵ֣י נֶ֖שֶׁר	0	Alternate translation: “The face on the back of the head of each one looked like the face of an eagle”
1:11	y2pe			their wings were spread out above, so that each creature had a pair of wings that touched another creature’s wing	וְ⁠כַנְפֵי⁠הֶ֥ם פְּרֻד֖וֹת מִ⁠לְ⁠מָ֑עְלָ⁠ה לְ⁠אִ֗ישׁ שְׁ֚תַּיִם חֹבְר֣וֹת אִ֔ישׁ	0	Alternate translation: “each creature held up two of his wings so that one wing touched the wing of the creature on one side of him, and the other wing touched the wing of the creature on the other side of him”
1:11	pd9d			and also a pair of wings that covered their bodies	וּ⁠שְׁתַּ֣יִם מְכַסּ֔וֹת אֵ֖ת גְּוִיֹתֵי⁠הֶֽנָה	0	This can be translated as a new sentence: “The other two wings of each creature covered its body”
1:12	e2th			Each went straight forward	~וְ⁠אִ֛ישׁ יֵלֵ֑כוּ עֵ֥בֶר	0	Alternate translation: “Each creature moved with a face looking forward”
1:13	ffv8			Connecting Statement:	~	0	# Connecting Statement:\n\nEzekiel continues to describe his vision.
1:13	i6wj		rc://*/ta/man/translate/figs-abstractnouns	As for the likeness of the living creatures, their appearance was like burning coals	~וּ⁠דְמ֨וּת מַרְאֵי⁠הֶ֣ם הַ⁠חַיּ֜וֹת הִ֕יא בֹּֽעֲרוֹת֙ כְּ⁠גַחֲלֵי	0	Here, **likeness** means that what Ezekiel saw looked like these things. If your language does not use an abstract noun for the idea behind the words **likeness** and **appearance**, you can express the same ideas with verbal forms. Alternate translation: “As for what the living creatures looked like, they were similar to burning coals”
1:13	m6wb			there were flashes of lightning	~הָ⁠אֵ֖שׁ הָ⁠אֵ֖שׁ בָרָֽק	0	Alternate translation: “lightning came out from the fire.”
1:14	jq1y		rc://*/ta/man/translate/figs-simile	The living creatures were moving swiftly back and forth, and they had the appearance of lightning	וְ⁠הַ⁠חַיּ֖וֹת רָצ֣וֹא וָ⁠שׁ֑וֹב כְּ⁠מַרְאֵ֖ה הַ⁠בָּזָֽק	0	Lightning flashes and then disappears quickly, and the creatures moved from one place to another quickly. If your language does not use an abstract noun for the idea behind the word **appearance**, you can express the same idea with a verbal form. Alternate translation: “The living creatures were moving swiftly back and forth, and they looked like lightning” (See also: [[rc://*/ta/man/translate/figs-abstractnouns]])
1:15	me27			Connecting Statement:	~	0	# Connecting Statement:\n\nEzekiel continues to tell about his vision.
1:16	kq4i			This was the appearance and structure of the wheels	~מַרְאֵ֨ה כְּ⁠עֵ֣ין וּ⁠מַעֲשֵׂי⁠הֶם֙ וּ⁠דְמ֥וּת	0	Alternate translation: “This is what the wheels looked like and how they were made”
1:16	yue4			like beryl	תַּרְשִׁ֔ישׁ	0	Beryl is a kind of clear, valuable stone, often of yellow or golden color. “clear and yellow like a beryl stone” or “clear and yellow like a precious stone”
1:16	du8h		rc://*/ta/man/translate/figs-abstractnouns	the four had the same likeness	~לְ⁠אַרְבַּעְתָּ֑⁠ן כַּ⁠אֲשֶׁ֛ר אֶחָ֖ד	0	Here, **likeness** refers to what the four wheels looked like. If your language does not use an abstract noun for the idea behind the word **likeness**, you can express the same idea with a verbal form. Alternate translation: “all four of the wheels looked the same”
1:16	q9kt		rc://*/ta/man/translate/figs-abstractnouns	their appearance and structure was like a wheel intersecting another wheel	~וּ⁠מַ֣עֲשֵׂי⁠הֶ֔ם יִהְיֶ֥ה הָ⁠אוֹפַ֖ן בְּ⁠ת֥וֹךְ הָ⁠אוֹפָֽן	0	The abstract nouns “appearance” and “structure” can be translated as verbs. Alternate translation: “they appeared to be made with one wheel going through another wheel”
1:17	d4vz			Connecting Statement:	~	0	# Connecting Statement:\n\nEzekiel continues to describe his vision.
1:17	yzc3			they went in any of their four directions	~יֵלֵ֑כוּ עַל רִבְעֵי⁠הֶ֖ן אַרְבַּ֥עַת רִבְעֵי⁠הֶ֖ן	0	This could mean: (1) “their” refers to the creatures. Alternate translation: “they would go straight in any one of the four directions that the creatures looked towards” or (2) “their” refers to the wheels.
1:18	tsz7			As for their rims	~לָ⁠הֶ֖ם לָ⁠הֶ֑ם וְ⁠גַ֨בֵּי⁠הֶ֔ן	0	Alternate translation: “This is what the rims of the wheels looked like”
1:18	j5l2			they were high and fearsome	~וְ⁠גֹ֥בַהּ וְ⁠יִרְאָ֣ה	0	Alternate translation: “the rims were very tall and awe-inspiring” or “the rims where tall and frightening”
1:18	q999			for the rims were full of eyes round about	~לְ⁠אַרְבַּעְתָּֽ⁠ן וְ⁠גַבֹּתָ֗⁠ם מְלֵאֹ֥ת עֵינַ֛יִם סָבִ֖יב	0	Alternate translation: “because the rims had very many eyes around all four of the wheels”
1:19	pwu8		rc://*/ta/man/translate/figs-explicit	When the living creatures rose up from the earth	~הַֽ⁠חַיּוֹת֙ וּ⁠בְ⁠הִנָּשֵׂ֤א מֵ⁠עַ֣ל הָ⁠אָ֔רֶץ	0	The creatures were flying in the air after they left the ground. Alternate translation: “So when the creatures left the ground and went up into the air”
1:19	c3bw			the wheels also rose up	~הָ⁠אוֹפַנִּֽים יִנָּשְׂא֖וּ	0	Alternate translation: “the wheels also left the ground and went into the air”
1:20	q1gf			Wherever the Spirit would go, they went	~אֲשֶׁר֩ עַ֣ל הָ⁠ר֤וּחַ שָּׁ֨ם יֵלֵ֔כוּ לָ⁠לֶ֑כֶת לָ⁠לֶ֨כֶת֙	0	The word “they” refers to the creatures.
1:20	i3ax			the wheels rose up beside them	~וְ⁠הָ⁠אוֹפַנִּ֗ים יִנָּשְׂאוּ֙ לְ⁠עֻמָּתָ֔⁠ם שָׁ֥מָּ⁠ה	0	Alternate translation: “the wheels went up into the air with the living creatures”
1:20	sqv9		rc://*/ta/man/translate/figs-idiom	the spirit of the living creature was in the wheels	~הָ⁠ר֖וּחַ ר֥וּחַ הַ⁠חַיָּ֖ה יִֽהְיֶה בָּ⁠אוֹפַנִּֽים	0	This could mean: (1) Ezekiel is speaking of the “creatures” of verse 19 as if they were one creature. Alternate translation: “the spirit of the living creatures was in the wheels” or (2) Ezekiel is using an idiom. Alternate translation: “the spirit of life was in the wheels” or “the living spirit was in the wheels” or (3) the spirit in the creatures and in the wheels is the same. Alternate translation: “the same spirit that gave life to the creatures also gave life to the wheels”
1:22	ikj7		rc://*/ta/man/translate/figs-abstractnouns	the likeness of an expansive dome	~וּ⁠דְמ֞וּת רָקִ֔יעַ	0	Here, **likeness** means that what Ezekiel saw looked like “an expansive dome.” If your language does not use an abstract noun for the idea behind the word **likeness**, you can express the same idea with a verbal form. Alternate translation: “what looked like an expansive dome”
1:22	l6f5			an expansive dome	רָקִ֔יעַ	0	A dome looks like a hollow ball that is cut in half. “Expansive” means very large. “a huge upside-down bowl”
1:22	hu3m			awe-inspiring crystal	הַ⁠קֶּ֣רַח	0	Alternate translation: “awe-inspiring ice” or “crystal that makes people marvel when they look at it”
1:22	unz5			stretched out over their heads above	נָט֥וּי עַל רָאשֵׁי⁠הֶ֖ם מִ⁠לְ⁠מָֽעְלָ⁠ה	0	Alternate translation: “and the expansive dome was spread out above the heads of the creatures” or “and the expansive dome took up a lot of space over the heads of the creatures”
1:23	w3ga			Beneath the dome	~וְ⁠תַ֨חַת֙ לָ⁠הֵ֔נָּה הָ⁠רָקִ֔יעַ	0	Alternate translation: “under the dome”
1:23	h3u3			Each of the living creatures also had a pair to cover themselves; each had a pair to cover his own body	~שְׁתַּ֤יִם לָ⁠הֵ֔נָּה לָ⁠הֵ֔נָּה אֶל מְכַסּוֹת֙ שְׁתַּ֤יִם מְכַסּוֹת֙ אֵ֖ת גְּוִיֹּתֵי⁠הֶֽם	0	Alternate translation: “Each of the living creatures also had two other wings, which they used to cover their bodies”
1:24	x6cx			Then I heard the sound of their wings. Like the noise of many waters. Like the voice of the Almighty whenever they moved. Like	~וָ⁠אֶשְׁמַ֣ע אֶת כְּ⁠קוֹל֩ כַּנְפֵי⁠הֶ֡ם ק֥וֹל רַבִּ֤ים מַ֨יִם ק֣וֹל שַׁדַּי֙ בְּ⁠לֶכְתָּ֔⁠ם כְּ⁠קוֹל	0	The words **whenever they moved** could mean: (1) all the words before them in this verse, “Whenever they moved, I heard the sound of their wings. Like the noise of rushing water. Like the voice of the Almighty. Like” or (2) to the words that follow, “wings. Like the noise of rushing water. Like the voice of the Almighty. Whenever they moved, it sounded like.”
1:24	nht8		rc://*/ta/man/translate/figs-simile	Like … waters. Like … moved. Like … rainstorm. Like … army.	~	0	These sentences are not complete because Ezekiel was showing that he was excited about what he saw. They can be translated as complete sentences: “The wings sounded like … water. They sounded like … moved. They sounded like … rainstorm. They sounded like … army.”
1:24	pa6v			many waters	~רַבִּ֤ים מַ֨יִם	0	This simply means “a lot of water.” It could refer to a loud river or a large waterfall or the waves crashing at the ocean. All of these are very loud.
1:24	a1wk		rc://*/ta/man/translate/figs-metonymy	Like the voice of the Almighty	~ק֣וֹל שַׁדַּי֙	0	The Bible sometimes refers to thunder as “the voice of the Almighty.” Alternate translation: “It sounded like the voice of the Almighty God” or “It sounded like the thunder of the Almighty”
1:24	ii8k		rc://*/ta/man/translate/figs-simile	Like the sound of a rainstorm	~כְּ⁠קוֹל הֲמֻלָּ֖ה	0	Possible meanings are: (1) “Like the sound of very big storm” or (2) “Like the sound of a very large crowd of people” Alternate translation: “There was a sound that was loud like a big storm” or “There was a sound that was loud like a very large crowd of people”
1:24	m4zj			Whenever they stood still	מַחֲנֶ֑ה בְּ⁠עָמְדָ֖⁠ם	0	Alternate translation: “Whenever the creatures stopped moving”
1:24	lip7			they lowered their wings	תְּרַפֶּ֥ינָה כַנְפֵי⁠הֶֽן	0	“the creatures let their wings hang down by their sides.” They did this when they were not using their wings to fly.
1:25	fdh7			A voice came from above the dome	~ק֕וֹל אֲשֶׁ֣ר מֵ⁠עַ֕ל לָ⁠רָקִ֖יעַ	0	“Someone who was above the dome spoke.” If you need to tell whose voice this is, you should probably identify it as the voice of Yahweh ([Ezekiel 1:3](../01/03.md)).
1:25	c7rf			the dome over their heads	~מֵ⁠עַ֕ל לָ⁠רָקִ֖יעַ עַל רֹאשָׁ֑⁠ם	0	Alternate translation: “the dome that was over the heads of the creatures”
1:25	vx4w			the dome	מֵ⁠עַ֕ל לָ⁠רָקִ֖יעַ	0	See how you translated this in [Ezekiel 1:23](../01/23.md).
1:26	pwr1			over their heads	~וְ⁠עַל֙ רֹאשָׁ֔⁠ם	0	Alternate translation: “over the heads of the living creatures”
1:26	v6pz		rc://*/ta/man/translate/figs-abstractnouns	was the likeness of a throne	~כְּ⁠מַרְאֵ֥ה דְּמ֣וּת כִּסֵּ֑א	0	Here, **likeness** means that what Ezekiel saw looked like a throne. If your language does not use an abstract noun for the idea behind the word **likeness**, you can express the same idea with a verbal form. Alternate translation: “was something that looked like a throne”
1:26	dds3			sapphire	סַפִּ֖יר	0	a very valuable stone that is clear blue and very shiny
1:26	fx3x		rc://*/ta/man/translate/figs-abstractnouns	on the likeness of the throne was	~עַל דְּמ֣וּת הַ⁠כִּסֵּ֔א כְּ⁠מַרְאֵ֥ה	0	If your language does not use an abstract noun for the idea behind the word **likeness**, you can express the same idea with a verbal form. Alternate translation: “on what looked like a throne there was”
1:26	npv7		rc://*/ta/man/translate/figs-abstractnouns	a likeness like the appearance of a man	כְּ⁠מַרְאֵ֥ה אָדָ֛ם	0	The abstract nouns “likeness” and “appearance” can be translated with verbal phrases. If you need to tell who this is, you should probably identify him as Yahweh ([Ezekiel 1:3](../01/03.md)). Alternate translation: “something that looked similar to what appeared to be a man”
1:27	t3wg		rc://*/ta/man/translate/figs-abstractnouns	from the appearance of his hips up	~מִ⁠מַּרְאֵ֥ה ל֖⁠וֹ מָתְנָ֖י⁠ו וּ⁠לְ⁠מָ֑עְלָ⁠ה	0	The person’s body above the hips looked like glowing metal that had fire in it. If your language does not use an abstract noun for the idea behind the word **appearance**, you can express the same idea with a verbal form. Alternate translation: “from what appeared to be his hips up”
1:27	f7ri		rc://*/ta/man/translate/figs-abstractnouns	from the appearance of his hips downward the appearance of fire and brightness all around	~וּ⁠מִ⁠מַּרְאֵ֤ה מָתְנָי⁠ו֙ וּ⁠לְ⁠מַ֔טָּה כְּ⁠מַרְאֵה אֵ֔שׁ וְ⁠נֹ֥גַֽהּ סָבִ֔יב סָבִֽיב	0	If your language does not use an abstract noun for the idea behind the word **appearance**, you can express the same idea with a verbal form. Alternate translation: “all around him below what appeared to be his hips, I saw what looked like fire and a bright light”
1:28	ju5f		rc://*/ta/man/translate/figs-abstractnouns	Like the appearance of a rainbow in the clouds on a rainy day was the appearance of the bright light surrounding it	~כְּ⁠מַרְאֵ֣ה הַ⁠קֶּ֡שֶׁת אֲשֶׁר֩ בֶ⁠עָנָ֜ן הַ⁠גֶּ֗שֶׁם בְּ⁠י֣וֹם יִֽהְיֶ֨ה מַרְאֵ֤ה הַ⁠נֹּ֨גַהּ֙ כֵּ֣ן סָבִ֔יב	0	If your language does not use an abstract noun for the idea behind the word **appearance**, you can express the same idea with a verbal form. Alternate translation: “The brightness surrounding it appeared to be like the way a rainbow appears in the clouds on a rainy day”
1:28	qe4p			rainbow	הַ⁠קֶּ֡שֶׁת	0	the colorful strip of light that appears in the rain when the sun shines from behind the viewer
1:28	eww3		rc://*/ta/man/translate/figs-abstractnouns	It was the appearance of the likeness of the glory of Yahweh	ה֕וּא מַרְאֵ֖ה דְּמ֣וּת כְּבוֹד יְהוָ֑ה	0	Here, **likeness** means that what Ezekiel saw looked like the glory of Yahweh. If your language does not use an abstract noun for the ideas behind the words **appearance** and **likeness**, you can express the same idea with verbal forms. Alternate translation: “It appeared to be what looked like the glory of Yahweh”
1:28	x337		rc://*/ta/man/translate/figs-idiom	I fell on my face	וָ⁠אֶפֹּ֣ל עַל פָּנַ֔⁠י	0	“I bowed down to the ground” or “I lay on the ground.” Ezekiel did not fall by accident. He went down to the ground to show that he respected and feared Yahweh.
1:28	xf7s		rc://*/ta/man/translate/figs-metonymy	I heard a voice speaking	וָ⁠אֶשְׁמַ֖ע ק֥וֹל מְדַבֵּֽר	0	The word “voice” is a metonym for the person. Alternate translation: “I heard someone speaking” or “Someone spoke, and I heard his voice”
2:intro	pp1p					0	# Ezekiel 2 General Notes\n\n## Structure and formatting\n\nEzekiel’s call continues in this chapter. God appointed Ezekiel to be a prophet but warned him that the people were very rebellious and would not listen to him. (See: [[rc://*/tw/dict/bible/kt/call]] and [[rc://*/tw/dict/bible/kt/appoint]] and [[rc://*/tw/dict/bible/kt/prophet]])
2:1	jk2d			He said to me	וַ⁠יֹּ֖אמֶר אֵלָ֑⁠י	0	If your language has to identify the one speaking, it would be best to identify the speaker as the “one who looked like a man” ([Ezekiel 1:26](../01/26.md)). It was not “the Spirit.”
2:1	djp4			Son of man	בֶּן אָדָם֙	0	God calls Ezekiel this to emphasize that Ezekiel is only a human being. God is eternal and powerful, but humans are not. Alternate translation: “Mortal person” or “Human”
2:2	nf31			the Spirit	ר֗וּחַ	0	Other This could mean: (1) “a spirit” or (2) “a wind.”
2:3	rd8n			up to this very day	~הַ⁠זֶּֽה עֶ֖צֶם הַ⁠יּ֥וֹם	0	“even now” or “even today.” This means that the people of Israel were continuing to disobey God.
2:4	nn58			Their descendants	וְ⁠הַ⁠בָּנִ֗ים	0	the descendants of the past generations of Israel who had rebelled against God, referring to the people living in Israel at the time Ezekiel writes
2:4	iw3p			have stubborn faces	קְשֵׁ֤י פָנִים֙	0	Alternate translation: “have expression on their faces that show that they are stubborn”
2:4	s6jn		rc://*/ta/man/translate/figs-doublet	stubborn faces and hard hearts	קְשֵׁ֤י פָנִים֙ וְ⁠חִזְקֵי לֵ֔ב	0	The words “stubborn faces” refer to the way they act on the outside, and the words “hard hearts” refer to the way they think and feel. Together they emphasize that the people of Israel would not change how they lived in order to obey God.
2:4	bi27			stubborn	קְשֵׁ֤י	0	This describes a person who refuses to change what he thinks or what he is doing.
2:4	nx1c		rc://*/ta/man/translate/figs-metaphor	hard hearts	וְ⁠חִזְקֵי לֵ֔ב	0	Rocks never change and become soft, and these people never change and become sorry when they do evil things.
2:5	k6vh		rc://*/ta/man/translate/figs-metonymy	house	בֵּ֥ית	0	This is a metonym for the family that lives in the house, in this case the Israelites, the descendants of Jacob over many years. Alternate translation: “people group”
2:5	g4a6			a prophet has been among them	נָבִ֖יא הָיָ֥ה בְ⁠תוֹכָֽ⁠ם	0	Alternate translation: “the one whom they have refused to listen to was a prophet”
2:6	cd8n			son of man	בֶן אָ֠דָם	0	God calls Ezekiel this to emphasize that Ezekiel is only a human being. God is eternal and powerful, but humans are not. See how you translated this in [Ezekiel 2:1](../02/01.md). Alternate translation: “mortal person” or “human”
2:6	z8yl		rc://*/ta/man/translate/figs-metaphor	briers and thorns and … scorpions	~	0	These words describe the people of Israel who will not treat Ezekiel kindly when he tells them what God says.
2:6	jsb2			briers and thorns	~סָרָבִ֤ים אוֹתָ֔⁠ךְ וְ⁠סַלּוֹנִים֙	0	Briers are bushes with sharp points on the branches. The sharp points on the branches are called thorns.
2:6	s9um			scorpions	עַקְרַבִּ֖ים	0	A scorpion is a small animal with two front claws, six legs, and a large tail with a poisonous stinger. Its sting is very painful.
