Reference	ID	Tags	SupportReference	Quote	OrigQuote	Occurrence	Note
1:2	q17j		rc://*/ta/man/translate/figs-metaphor	Yahweh will roar	~יְהוָה֙ יִשְׁאָ֔ג	0	The author speaks of the voice of Yahweh as if it sounded like the roar of a lion or the roar of thunder.
1:2	ws32			Yahweh	יְהוָה֙	0	This is the name of God that he revealed to his people in the Old Testament. See the translationWord page about Yahweh concerning how to translate this.
1:3	rk7r			For three sins of … even for four	~	0	This is a poetic device. It does not mean that a specific number of sins had been committed, but it indicates that many sins had led to God’s judgment.
1:3	rpv5		rc://*/ta/man/translate/figs-metonymy	Damascus	דַמֶּ֔שֶׂק	0	Here “Damascus” represents the people of the city of Damascus. Alternate translation: “the people of Damascus”
1:3	cnr9		rc://*/ta/man/translate/figs-litotes	I will not turn away punishment	~אֲשִׁיבֶ֑⁠נּוּ לֹ֣א אֲשִׁיבֶ֑⁠נּוּ	0	Yahweh uses two negatives here to emphasize that he would punish them. Alternate translation: “I will certainly punish those people”
1:3	b7ie		rc://*/ta/man/translate/figs-idiom	they threshed Gilead with instruments of iron	~דּוּשָׁ֛⁠ם אֶת הַ⁠גִּלְעָֽד בַּ⁠חֲרֻצ֥וֹת הַ⁠בַּרְזֶ֖ל	0	Yahweh speaks of how Damascus treated Gilead as if they had threshed grain with iron tools or weapons.
1:3	z99i		rc://*/ta/man/translate/figs-metonymy	Gilead	אֶת הַ⁠גִּלְעָֽד	0	Here “Gilead” represents the people of the region of Gilead. Alternate translation: “the people of Gilead”
1:4	viv5		rc://*/ta/man/translate/figs-metaphor	I will send a fire into the house of Hazael	וְ⁠שִׁלַּ֥חְתִּי אֵ֖שׁ בְּ⁠בֵ֣ית חֲזָאֵ֑ל	0	Here Yahweh speaks of his judgment against the house of Hazael as if it were a consuming fire.
1:4	h2l1		rc://*/ta/man/translate/figs-metonymy	the house of Hazael	בְּ⁠בֵ֣ית חֲזָאֵ֑ל	0	The word “house” is a metonym for the family that lives in the house. In this case it refers to Hazael’s descendants, who were rulers of the country where Damascus was located.
1:4	ik4f		rc://*/ta/man/translate/figs-metaphor	it will devour the fortresses of Ben Hadad	וְ⁠אָכְלָ֖ה אַרְמְנ֥וֹת בֶּן הֲדָֽד	0	Here Yahweh’s judgment is spoken of as if it were a fire that was consuming the fortresses.
1:4	yi4i		rc://*/ta/man/translate/translate-names	Hazael … Ben Hadad	~	0	These are the names of men.
1:5	mq54			Connecting Statement:	~	0	# Connecting Statement:\n\nYahweh continues his message of judgment on Damascus.
1:5	j6ku		rc://*/ta/man/translate/figs-metaphor	cut off the man	~	0	Here to “cut off” means either to destroy or to drive away, as one would cut a piece of cloth or cut a branch from a tree. Alternate translation: “destroy the man” or “drive away the man”
1:5	na9l		rc://*/ta/man/translate/translate-names	Valley of Aven	מִ⁠בִּקְעַת אָ֔וֶן	0	This is the name of a place that means “valley of wickedness.” This could mean: (1) this is the name of an actual place in that region or (2) this is a metonym for Damascus or the surrounding region. Alternate translation: “the valley of wickedness” (See also: [[rc://*/ta/man/translate/figs-metonymy]])
1:5	aji7		rc://*/ta/man/translate/figs-metonymy	the man who holds the scepter in	~	0	This is a metonym for the ruler of that city or region. Alternate translation: “the ruler of”
1:5	q6cf		rc://*/ta/man/translate/translate-names	Beth Eden	מִ⁠בֵּ֣ית עֶ֑דֶן	0	This is the name of a place that means “house of pleasure.” This could mean: (1) this is the name of an actual place in that region or (2) this is another metonym for Damascus or the surrounding region. Alternate translation: “the house of pleasure” (See also: [[rc://*/ta/man/translate/figs-metonymy]])
1:5	zgv6		rc://*/ta/man/translate/translate-names	Kir	קִ֖ירָ⁠ה	0	This is the name of a region from which the people of Aram originally came.
1:6	wc1b			For three sins of … even for four	~	0	This is a poetic device. It does not mean that a specific number of sins had been committed, but it indicates that many sins had led to God’s judgment. See how you translated these words in [Amos 1:3](../01/03.md).
1:6	ir17		rc://*/ta/man/translate/figs-metonymy	Gaza	עַזָּ֔ה	0	Here “Gaza” represents the people of the region of Gaza. Alternate translation: “the people of Gaza”
1:6	pd54		rc://*/ta/man/translate/figs-litotes	I will not turn away punishment	~אֲשִׁיבֶ֑⁠נּוּ לֹ֣א אֲשִׁיבֶ֑⁠נּוּ	0	Yahweh uses two negatives here to emphasize that he would punish them. See how you translated these words in [Amos 1:3](../01/03.md).
1:6	mxg6			hand them over to	לְ⁠הַסְגִּ֥יר לֶ⁠אֱדֽוֹם	0	Alternate translation: “deliver them up to” or “sell them to”
1:6	s4mb		rc://*/ta/man/translate/figs-metonymy	Edom	לֶ⁠אֱדֽוֹם	0	Here “Edom” represents the people of the country of Edom. Alternate translation: “the people of Edom”
1:7	s2fy		rc://*/ta/man/translate/figs-metaphor	it will devour her fortresses	וְ⁠אָכְלָ֖ה אַרְמְנֹתֶֽי⁠הָ	0	Here Yahweh’s judgment is spoken of as if it were a fire that was consuming the fortresses.
1:8	r5df			Connecting Statement:	~	0	# Connecting Statement:\n\nYahweh continues his message of judgment on Gaza.
1:8	pn5f		rc://*/ta/man/translate/figs-metaphor	cut off the man	~	0	Here to “cut off” means either to destroy or to drive away, as one would cut a piece of cloth or cut a branch from a tree. Alternate translation: “destroy the man” or “drive away the man”
1:8	z6mc		rc://*/ta/man/translate/figs-metonymy	the man who holds the scepter	~	0	This is a metonym for the ruler of that city or region. Alternate translation: “the ruler”
1:8	m7rn		rc://*/ta/man/translate/figs-metonymy	I will turn my hand against Ekron	וַ⁠הֲשִׁיב֨וֹתִי יָדִ֜⁠י עַל עֶקְר֗וֹן	0	Here “hand” represents Yahweh’s power that he would use against Ekron. Alternate translation: “I will strike Ekron” or “I will destroy Ekron”
1:8	w6im		rc://*/ta/man/translate/figs-metonymy	Ekron	עֶקְר֗וֹן	0	Here “Ekron” represents the people of the city of Ekron. Alternate translation: “the people of Ekron”
1:9	dw8j			For three sins of … even for four	~	0	This is a poetic device. It does not mean that a specific number of sins had been committed, but indicates that many sins had led to God’s judgment. See how you translated these words in [Amos 1:3](../01/03.md).
1:9	m576		rc://*/ta/man/translate/figs-metonymy	Tyre	צֹ֔ר	0	Here “Tyre” represents the people of the city of Tyre. Alternate translation: “the people of Tyre”
1:9	s55w		rc://*/ta/man/translate/figs-litotes	I will not turn away punishment	~אֲשִׁיבֶ֑⁠נּוּ לֹ֣א אֲשִׁיבֶ֑⁠נּוּ	0	Yahweh uses two negatives here to emphasize that he would punish them. See how you translated these words in [Amos 1:3](../01/03.md).
1:9	a5jh			their covenant of brotherhood	בְּרִ֥ית אַחִֽים	0	Alternate translation: “the agreement they made to treat you as brothers”
1:10	q6k1		rc://*/ta/man/translate/figs-metaphor	it will devour her fortresses	וְ⁠אָכְלָ֖ה אַרְמְנֹתֶֽי⁠הָ	0	Here Yahweh’s judgment is spoken of as if it were a fire that was consuming the fortresses.
1:11	a393			For three sins of … even for four	~	0	This is a poetic device. It does not mean that a specific number of sins had been committed, but indicates that many sins had led to God’s judgment. See how you translated these words in [Amos 1:3](../01/03.md).
1:11	re3j		rc://*/ta/man/translate/figs-metonymy	Edom	אֱד֔וֹם	0	Here “Edom” represents the people of the country of Edom. Alternate translation: “the people of Edom”
1:11	y8u9		rc://*/ta/man/translate/figs-litotes	I will not turn away punishment	~אֲשִׁיבֶ֑⁠נּוּ לֹ֣א אֲשִׁיבֶ֑⁠נּוּ	0	Yahweh uses two negatives here to emphasize that he would punish them. See how you translated these words in [Amos 1:3](../01/03.md).
1:11	t3ng		rc://*/ta/man/translate/figs-explicit	he pursued his brother	~רָדְפ֨⁠וֹ אָחִי⁠ו֙	0	The assumed knowledge is that Esau, from whom the people of Edom were descended, was the brother of Jacob, from whom the people of Israel were descended. Here “his brother” represents the people of Israel. Alternate translation: “he pursued the people of Israel” (See also: [[rc://*/ta/man/translate/figs-metonymy]])
1:11	we19			cast off all pity	וְ⁠שִׁחֵ֣ת רַחֲמָ֔י⁠ו	0	Alternate translation: “showed them no mercy”
1:11	hrl2		rc://*/ta/man/translate/figs-parallelism	His anger raged continually, and his wrath lasted forever	~אַפּ֔⁠וֹ וַ⁠יִּטְרֹ֤ף לָ⁠עַד֙ וְ⁠עֶבְרָת֖⁠וֹ שְׁמָ֥רָ⁠ה נֶֽצַח	0	These two phrases mean the same thing and are repeated to emphasize his continued anger. The abstract nouns “anger” and “wrath” can be translated using the adjectives “angry” and “furious.” Alternate translation: “He was continually angry and always furious” (See also: [[rc://*/ta/man/translate/figs-abstractnouns]])
1:11	e4yz		rc://*/ta/man/translate/figs-hyperbole	his wrath lasted forever	וְ⁠עֶבְרָת֖⁠וֹ שְׁמָ֥רָ⁠ה נֶֽצַח	0	This is an exaggeration that is meant to express the ongoing nature of his wrath.
1:12	u6m8		rc://*/ta/man/translate/translate-names	Teman … Bozrah	~	0	These are names of places.
1:12	rv98		rc://*/ta/man/translate/figs-metaphor	it will devour the palaces of Bozrah	וְ⁠אָכְלָ֖ה אַרְמְנ֥וֹת בָּצְרָֽה	0	Here Yahweh’s judgment is spoken of as if it were a fire that was consuming the palaces.
1:13	cc91			For three sins of … even for four	~	0	This is a poetic device. It does not mean that a specific number of sins had been committed, but indicates that many sins had led to God’s judgment. See how you translated these words in [Amos 1:3](../01/03.md).
1:13	qdx6		rc://*/ta/man/translate/figs-litotes	I will not turn away punishment	~אֲשִׁיבֶ֑⁠נּוּ לֹ֣א אֲשִׁיבֶ֑⁠נּוּ	0	Yahweh uses two negatives here to emphasize that he would punish them. See how you translated these words in [Amos 1:3](../01/03.md).
1:13	b1tz			enlarge their borders	הַרְחִ֥יב אֶת גְּבוּלָֽ⁠ם	0	Alternate translation: “extend their boundaries” or “expand their territory”
1:14	g9vi			Connecting Statement:	~	0	# Connecting Statement:\n\nYahweh continues his message of judgment on the people of Ammon.
1:14	i3cd		rc://*/ta/man/translate/figs-metaphor	it will devour the palaces	וְ⁠אָכְלָ֖ה אַרְמְנוֹתֶ֑י⁠הָ	0	Here Yahweh’s judgment is spoken of as if it were a fire that was consuming the palaces.
1:14	hpu5		rc://*/ta/man/translate/figs-metaphor	with a tempest in the day of the whirlwind	בְּ⁠סַ֖עַר בְּ⁠י֥וֹם סוּפָֽה	0	The fighting against the people of Ammon is spoken of as if it were a violent storm. Alternate translation: “and the fighting will be like a great storm”
1:14	xh9x			tempest … whirlwind	~	0	These are two kinds of violent storms.
1:14	zf7h			whirlwind	סוּפָֽה	0	a strong wind that spins very quickly as it moves and can cause damage
1:15	s4xt		rc://*/ta/man/translate/figs-abstractnouns	Their king will go into captivity	~מַלְכָּ֖⁠ם וְ⁠הָלַ֥ךְ בַּ⁠גּוֹלָ֑ה	0	If your language does not use an abstract noun for the idea behind the word **captivity**, you can express the same idea with a verbal form such as “capture.” This can be translated in active form. Alternate translation: “Their enemies will capture their king and take him away as a prisoner” (See also: [[rc://*/ta/man/translate/figs-activepassive]])
2:intro	ibd6					0	# Amos 2 General Notes\n\n## Structure and formatting\n\nThis chapter consists of oracles against Moab and Judah by using poetic language and imagery. But the UST translates it using prose. If possible, translate this chapter as poetry, but you may translate as narrative.\n\n## Important figures of speech in this chapter\n\n### Idiom\n\nYou will notice that the phrase “For three sins of Judah, even for four,” is used to begin each of these oracles. This is not intended to be a literal count but is an idiom indicating a large number of sins. (See: [[rc://*/ta/man/translate/figs-idiom]] and [[rc://*/tw/dict/bible/kt/sin]])
2:1	g1vl			For three sins of … even for four	~	0	This is a poetic device. It does not mean that a specific number of sins had been committed, but indicates that many sins had led to God’s judgment. See how you translated these words in [Amos 1:3](../01/03.md).
2:1	uc48		rc://*/ta/man/translate/figs-metonymy	Moab	מוֹאָ֔ב	0	This represents the Moabite people. Alternate translation: “the people of Moab”
2:1	pft8		rc://*/ta/man/translate/figs-litotes	I will not turn away punishment	~אֲשִׁיבֶ֑⁠נּוּ לֹ֣א אֲשִׁיבֶ֑⁠נּוּ	0	Yahweh uses two negatives here to emphasize that he would punish them. See how you translated these words in [Amos 1:3](../01/03.md).
2:1	w5dg			he burned the bones	שָׂרְפ֛⁠וֹ עַצְמ֥וֹת	0	The word “he” refers to Moab. Alternate translation: “the people of Moab burned the bones”
2:1	ma6m			to lime	לַ⁠שִּֽׂיד	0	Alternate translation: “to ashes”
2:2	ah6f			Connecting Statement:	~	0	# Connecting Statement:\n\nYahweh continues his message of judgment on the people of Moab.
2:2	j3zn		rc://*/ta/man/translate/translate-names	Kerioth	הַ⁠קְּרִיּ֑וֹת	0	This is the name of a city or town.
2:2	w2hn		rc://*/ta/man/translate/figs-metonymy	Moab will die	~מוֹאָ֔ב וּ⁠מֵ֤ת	0	Here “Moab” represents the people of Moab. Alternate translation: “The people of Moab will die”
2:2	zm8i			in an uproar	בְּ⁠שָׁאוֹן֙	0	An uproar is a very loud noise.
2:3	c3j7			the judge in her	שׁוֹפֵ֖ט מִ⁠קִּרְבָּ֑⁠הּ	0	Alternate translation: “the ruler of Moab”
2:3	bj82			all the princes	וְ⁠כָל שָׂרֶ֛י⁠הָ	0	Alternate translation: “all the officials” or “all the leaders”
2:4	fu1p			For three sins of … even for four	~	0	This is a poetic device. It does not mean that a specific number of sins had been committed, but indicates that many sins had led to God’s judgment. See how you translated these words in [Amos 1:3](../01/03.md).
2:4	csn5		rc://*/ta/man/translate/figs-metonymy	Judah	יְהוּדָ֔ה	0	This represents the people of Judah. Alternate translation: “the people of Judah”
2:4	gt89		rc://*/ta/man/translate/figs-litotes	I will not turn away punishment	~אֲשִׁיבֶ֑⁠נּוּ לֹ֣א אֲשִׁיבֶ֑⁠נּוּ	0	Yahweh uses two negatives here to emphasize that he will punish them. See how you translated these words in [Amos 1:3](../01/03.md).
2:4	d67w		rc://*/ta/man/translate/figs-metaphor	Their lies	כִּזְבֵי⁠הֶ֔ם	0	This expression here probably refers to worshiping false gods or idols. Alternate translation: “Their worship of idols”
2:4	p387		rc://*/ta/man/translate/figs-metaphor	go astray … walked	~	0	Worshiping false gods is spoken of as if people were walking behind them.
2:5	h9pg		rc://*/ta/man/translate/figs-metaphor	it will devour the fortresses of Jerusalem	וְ⁠אָכְלָ֖ה אַרְמְנ֥וֹת יְרוּשָׁלִָֽם	0	Here Yahweh’s judgment is spoken of as if it were a fire that was consuming the fortresses.
2:6	c6wx			For three sins of … even for four	~	0	This is a poetic device. It does not meaan that a specific number of sins had been committed, but indicates that many of sins had led to God’s judgment. See how you translated these words in [Amos 1:3](../01/03.md).
2:6	w27a		rc://*/ta/man/translate/figs-metonymy	Israel	יִשְׂרָאֵ֔ל	0	This represents the Israelite people. Alternate translation: “the people of Israel”
2:6	pk79		rc://*/ta/man/translate/figs-litotes	I will not turn away punishment	~אֲשִׁיבֶ֑⁠נּוּ לֹ֣א אֲשִׁיבֶ֑⁠נּוּ	0	Yahweh uses two negatives here to emphasize that he would punish them. See how you translated these words in [Amos 1:3](../01/03.md).
2:6	py15		rc://*/ta/man/translate/figs-nominaladj	the innocent	צַדִּ֔יק	0	This refers to innocent people in general. Alternate translation: “innocent people”
2:6	pb42		rc://*/ta/man/translate/figs-nominaladj	the needy	וְ⁠אֶבְי֖וֹן	0	This refers to needy people in general. Alternate translation: “needy people”
2:7	sm8l				~	0	# General Information:\n\nThe word “they” in these verses refers to the people of Israel.
2:7	my6y			Connecting Statement:	~	0	# Connecting Statement:\n\nYahweh continues his message of judgment on the people of Israel.
2:7	v5te		rc://*/ta/man/translate/figs-simile	They trample on the heads of the poor as people trample on dust on the ground	~	0	How the people of Israel treated the poor is compared to how people step heavily on the ground
2:7	zrt7			trample	הַ⁠שֹּׁאֲפִ֤ים	0	repeatedly step heavily or roughly
2:7	fx7m		rc://*/ta/man/translate/figs-nominaladj	the poor	דַּלִּ֔ים	0	This refers to poor people in general. Alternate translation: “poor people”
2:7	q5bc		rc://*/ta/man/translate/figs-idiom	they push the oppressed away	~	0	This idiom means they refused to listen when the oppressed people said they were being treated unfairly
2:7	lck3		rc://*/ta/man/translate/figs-nominaladj	the oppressed	עֲנָוִ֖ים	0	This refers to oppressed people in general. Alternate translation: “oppressed people”
2:7	jl29		rc://*/ta/man/translate/figs-euphemism	go in to the same girl	יֵֽלְכוּ֙ אֶל הַֽ⁠נַּעֲרָ֔ה	0	This is a euphemism. Alternate translation: “hav sexual relations with the same girl”
2:8	r53c		rc://*/ta/man/translate/figs-activepassive	those who were fined	עֲנוּשִׁים֙	0	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “those who they made to pay a penalty”
2:9	m3ct				~	0	# General Information:\n\nThe words “them” and “you” in these verses both refer to the people of Israel.
2:9	b98b			Connecting Statement:	~	0	# Connecting Statement:\n\nYahweh continues his message of judgment on the people of Israel.
2:9	f6cf		rc://*/ta/man/translate/figs-hyperbole	whose height was like the height of cedars; he was strong as the oaks	~אֲשֶׁ֨ר גָּבְה֔⁠וֹ כְּ⁠גֹ֤בַהּ אֲרָזִים֙ ה֖וּא כָּֽ⁠אַלּוֹנִ֑ים וְ⁠חָסֹ֥ן כָּֽ⁠אַלּוֹנִ֑ים	0	This is an exaggeration. It describes how tall and strong the Amorite people were and compares them to the tallest and strongest trees in that region. Alternate translation: “who were tall and strong like great trees” (See also: [[rc://*/ta/man/translate/figs-simile]])
2:9	md8t			cedars	אֲרָזִים֙	0	cedar trees
2:9	zc8z			oaks	כָּֽ⁠אַלּוֹנִ֑ים	0	oak trees
2:9	b3lg		rc://*/ta/man/translate/figs-idiom	Yet I destroyed his fruit above and his roots below	וָ⁠אַשְׁמִ֤יד פִּרְי⁠וֹ֙ מִ⁠מַּ֔עַל וְ⁠שָׁרָשָׁ֖י⁠ו מִ⁠תָּֽחַת	0	How Yahweh completely destroyed the Amorites is pictured as a tree being destroyed from top to bottom. Alternate translation: “Yet I destroyed them completely” (See also: [[rc://*/ta/man/translate/figs-merism]])
2:11	xf7b				~	0	# General Information:\n\nThe words “your” and “you” in these verses refer to the people of Israel.
2:11	d8dg			Connecting Statement:	~	0	# Connecting Statement:\n\nYahweh continues his message of judgment on the people of Israel.
2:11	yd3w			raised up	וָ⁠אָקִ֤ים	0	Alternate translation: “appointed”
2:11	hfp4		rc://*/ta/man/translate/figs-activepassive	Is it not so, people of Israel?	~	0	Yahweh asks this question to emphasize what he has said. If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “You people of Israel certainly know that what I have said is true!”
2:11	ar32		rc://*/ta/man/translate/figs-123person	this is Yahweh’s declaration	~נְאֻם נְאֻם	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared”
2:13	gch1				~	0	# General Information:\n\nThe word “you” in these verses refers to the people of Israel.
2:13	kk7s			Connecting Statement:	~	0	# Connecting Statement:\n\nYahweh continues his message of judgment on the people of Israel.
2:13	pae9			Look	~	0	This alerts the reader to pay attention to what follows. Alternate translation: “Listen” or “Pay attention to what I am about to tell you”
2:13	ak7p		rc://*/ta/man/translate/figs-simile	I will crush you as a cart that is full of grain can crush someone	~אָנֹכִ֥י מֵעִ֖יק תַּחְתֵּי⁠כֶ֑ם כַּ⁠אֲשֶׁ֤ר הָ⁠עֲגָלָ֔ה הַֽ⁠מְלֵאָ֥ה עָמִֽיר תָּעִיק֙ לָ֖⁠הּ	0	Yahweh compares his judgment on the people of Israel to crushing them with something very heavy.
2:14	x39h		rc://*/ta/man/translate/figs-nominaladj	The swift … the strong … the mighty	~	0	These adjectives refer to people in general. Alternate translation: “Swift people … strong people … mighty people” or “The strong person … the strong person … the mighty person”
2:15	pt37			Connecting Statement:	~	0	# Connecting Statement:\n\nYahweh continues his message of judgment on the people of Israel.
2:15	qs5b			The archer will not stand	~	0	Here “stand” means to keep one’s place in battle.
2:15	q2w6		rc://*/ta/man/translate/figs-explicit	the fast runner will not escape	~	0	The implied information is that the fast runner will not escape from his enemies. Alternate translation: “the fast runner will be captured”
2:16	c22v		rc://*/ta/man/translate/figs-metonymy	flee naked	~יָנ֥וּס עָר֛וֹם	0	This could mean: (1) this is a metonym for “run away without his weapons” or (2) this is meant literally as “run away wearing no clothes”
2:16	i9l6			in that day	~בַּ⁠יּוֹם הַ⁠ה֖וּא בַּ⁠יּוֹם	0	Alternate translation: “at that time”
2:16	szp1		rc://*/ta/man/translate/figs-123person	this is Yahweh’s declaration	~נְאֻם נְאֻם	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated this in [Amos 2:11](../02/11.md). Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared”
3:intro	gtz5					0	# Amos 3 General Notes\n\n## Structure and formatting\n\nAmos continues to use poetic form in this chapter to prophesy the disaster coming to the kingdoms of Israel and Judah. (See: [[rc://*/tw/dict/bible/kt/prophet]])\n\n## Important figures of speech in this chapter\n\n### Rhetorical Questions\n\nThis chapter begins with a number of rhetorical questions. The last question provides the reader with some answers: “Yahweh has certainly spoken through his prophets. So listen to them.” The answer to these rhetorical questions have the expected response of “no” because they are things that are not expected to happen. The writer is helping the reader to conclude that God uses the prophets to speak his message.
3:1	em48			Hear this word	~שִׁמְע֞וּ הַ⁠זֶּ֗ה אֶת הַ⁠דָּבָ֣ר	0	Alternate translation: “Hear this message” or “Listen to this message”
3:1	k2d9			that Yahweh has spoken against you … against the whole family	~	0	Alternate translation: “this word that Yahweh has spoken about you … about the whole family” or “Yahweh’s message about you … about the whole family”
3:1	kc3z			you, people of Israel … the whole family that I brought up out of the land of Egypt	~	0	These two phrases refer to the same group of people. The people God is speaking to are the descendants of those he had taken out of Egypt.
3:1	kg5e		rc://*/ta/man/translate/figs-metonymy	the whole family	~הַ⁠מִּשְׁפָּחָ֔ה כָּל הַ⁠מִּשְׁפָּחָ֔ה	0	Here “the whole family” represents to the whole nation. The people of Israel were all descendants of Jacob. Alternate translation: “the whole nation” or “the whole clan”
3:2	zb95		rc://*/ta/man/translate/figs-explicit	I have chosen only you from all the families of the earth	~יָדַ֔עְתִּי רַ֚ק אֶתְ⁠כֶ֣ם מִ⁠כֹּ֖ל מִשְׁפְּח֣וֹת הָ⁠אֲדָמָ֑ה	0	This implies that they should have obeyed him. This can be stated clearly. Alternate translation: “I have chosen only you from all the families of the earth, so you should have obeyed me”
3:2	d1zb		rc://*/ta/man/translate/figs-metonymy	all the families of the earth	מִ⁠כֹּ֖ל מִשְׁפְּח֣וֹת הָ⁠אֲדָמָ֑ה	0	Here “families” represents nations or people groups. Alternate translation: “all the nations of the earth” or “all the clans on the earth”
